year,month,category_name_en,revenue_items_only,sold_items
2017,10,art,349.05,3
2017,10,dvds_blu_ray,194.5,5
2017,10,fashion_underwear_beach,187.8,3
2017,10,party_supplies,137.8,2
2017,10,la_cuisine,137.0,1
2017,10,tablets_printing_image,99.0,1
2017,10,cine_photo,69.0,1
2017,10,home_comfort_2,64.5,5
2017,10,fashion_sport,59.9,1
2017,10,music,54.9,1
2017,10,cds_dvds_musicals,45.0,1
2017,10,fashion_childrens_clothes,39.99,1
2017,11,watches_gifts,97724.57,469
2017,11,bed_bath_table,89412.54,975
2017,11,health_beauty,79120.4,584
2017,11,computers_accessories,72656.0,532
2017,11,sports_leisure,64874.05,612
2017,11,toys,64320.89,495
2017,11,furniture_decor,63223.97,783
2017,11,cool_stuff,56295.24,302
2017,11,garden_tools,45972.18,550
2017,11,auto,34955.38,263
2017,11,housewares,34855.32,423
2017,11,perfumery,31831.81,311
2017,11,telephony,26564.88,383
2017,11,baby,21738.78,203
2017,11,office_furniture,18048.2,102
2017,11,stationery,16699.09,166
2017,11,musical_instruments,16509.9,49
2017,11,unknown,14115.98,122
2017,11,agro_industry_and_commerce,13932.49,19
2017,11,fashion_bags_accessories,13414.89,200
2017,11,consoles_games,12608.88,134
2017,11,pet_shop,11325.68,99
2017,11,electronics,10026.14,184
2017,11,computers,9768.0,7
2017,11,luggage_accessories,8538.95,72
2017,11,small_appliances,7826.82,31
2017,11,construction_tools_construction,6993.56,47
2017,11,furniture_living_room,6212.95,39
2017,11,home_confort,5355.39,45
2017,11,kitchen_dining_laundry_garden_furniture,5007.39,33
2017,11,home_construction,4936.72,38
2017,11,home_appliances_2,4854.93,13
2017,11,home_appliances,4515.94,25
2017,11,air_conditioning,4076.62,19
2017,11,audio,3677.23,36
2017,11,construction_tools_safety,3318.59,15
2017,11,books_general_interest,2664.96,38
2017,11,food_drink,2445.57,33
2017,11,construction_tools_lights,2199.48,10
2017,11,industry_commerce_and_business,2074.77,7
2017,11,fashion_shoes,1777.7,20
2017,11,market_place,1355.98,16
2017,11,christmas_supplies,1340.58,24
2017,11,fashion_underwear_beach,1221.6,10
2017,11,costruction_tools_garden,1218.5,17
2017,11,fixed_telephony,943.98,5
2017,11,fashion_male_clothing,929.99,12
2017,11,furniture_bedroom,873.0,3
2017,11,party_supplies,870.69,4
2017,11,books_technical,768.9,6
2017,11,drinks,748.61,19
2017,11,signaling_and_security,596.79,5
2017,11,food,556.95,17
2017,11,tablets_printing_image,350.4,6
2017,11,furniture_mattress_and_upholstery,334.0,2
2017,11,books_imported,324.0,4
2017,11,costruction_tools_tools,269.5,5
2017,11,cine_photo,242.0,1
2017,11,cds_dvds_musicals,195.0,3
2017,11,flowers,187.8,6
2017,11,la_cuisine,137.0,1
2017,11,fashio_female_clothing,79.88,3
2017,11,dvds_blu_ray,79.79,3
2017,11,art,75.0,1
2017,11,fashion_sport,59.9,1
2017,11,home_comfort_2,38.7,3
2017,12,watches_gifts,71727.62,367
2017,12,health_beauty,61264.66,466
2017,12,sports_leisure,59792.66,493
2017,12,toys,57194.14,445
2017,12,bed_bath_table,50505.85,552
2017,12,auto,39287.64,268
2017,12,cool_stuff,39011.54,252
2017,12,computers_accessories,37880.65,287
2017,12,furniture_decor,32011.75,390
2017,12,perfumery,27864.43,241
2017,12,garden_tools,27689.69,325
2017,12,housewares,25921.95,295
2017,12,stationery,25731.0,251
2017,12,baby,19943.08,143
2017,12,computers,16741.0,23
2017,12,unknown,16224.92,146
2017,12,telephony,13611.01,267
2017,12,musical_instruments,10823.5,42
2017,12,fashion_bags_accessories,10028.46,135
2017,12,consoles_games,9075.01,93
2017,12,small_appliances,8913.77,29
2017,12,electronics,8537.51,210
2017,12,pet_shop,7227.23,74
2017,12,office_furniture,6964.36,49
2017,12,home_construction,6735.3,39
2017,12,luggage_accessories,6248.21,47
2017,12,construction_tools_construction,5830.35,27
2017,12,agro_industry_and_commerce,5291.7,11
2017,12,kitchen_dining_laundry_garden_furniture,4277.3,20
2017,12,audio,2686.93,17
2017,12,books_general_interest,2397.1,42
2017,12,furniture_living_room,2316.01,20
2017,12,home_confort,2257.8,14
2017,12,drinks,2132.84,34
2017,12,home_appliances_2,1990.16,8
2017,12,industry_commerce_and_business,1828.5,9
2017,12,construction_tools_safety,1384.92,7
2017,12,home_appliances,1331.0,16
2017,12,fashion_underwear_beach,1173.1,13
2017,12,fashion_shoes,1099.0,13
2017,12,food_drink,1098.68,22
2017,12,fixed_telephony,998.77,5
2017,12,food,978.19,14
2017,12,costruction_tools_garden,928.9,6
2017,12,furniture_mattress_and_upholstery,803.7,8
2017,12,signaling_and_security,770.0,2
2017,12,market_place,703.25,14
2017,12,books_technical,670.69,4
2017,12,air_conditioning,668.8,3
2017,12,party_supplies,515.2,2
2017,12,christmas_supplies,493.9,16
2017,12,fashion_male_clothing,450.89,4
2017,12,tablets_printing_image,419.4,6
2017,12,costruction_tools_tools,349.4,6
2017,12,books_imported,231.0,3
2017,12,furniture_bedroom,185.0,1
2017,12,construction_tools_lights,176.0,2
2017,12,dvds_blu_ray,119.9,1
2017,12,art,115.25,3
2017,12,flowers,82.7,2
2017,12,diapers_and_hygiene,76.0,2
2017,12,cds_dvds_musicals,65.0,1
