customer_region,customer_state,customer_city,revenue_items_only,orders_count
sul,PR,inacio martins,242.99,5
norte,PA,moju,242.88,4
sul,RS,ametista do sul,242.8,2
nordeste,MA,santa luzia,242.7,2
sudeste,RJ,anta,241.88,3
norte,PA,porto trombetas,241.8,2
sudeste,SP,ocaucu,241.6,5
sudeste,MG,carmesia,241.1,1
sudeste,MG,santana dos montes,241.0,2
norte,RO,buritis,240.98,2
sudeste,RJ,sao jose do turvo,240.7,3
sudeste,MG,carvalhopolis,240.33,3
nordeste,RN,galinhos,240.0,1
sul,RS,osvaldo kroeff,239.99,1
sudeste,MG,santo antonio do grama,239.9,2
sudeste,MG,araponga,239.9,2
nordeste,PB,junco do serido,239.89,2
nordeste,MA,candido mendes,239.8,1
nordeste,CE,pentecoste,239.8,2
sudeste,SP,manduri,239.62,3
nordeste,AL,sao luis do quitunde,239.3,2
nordeste,BA,pau brasil,239.2,1
sul,SC,paulo lopes,238.99,2
sudeste,ES,muniz freire,238.9,2
sudeste,ES,presidente kennedy,238.65,2
sul,SC,maracana,238.0,2
sudeste,SP,campina do monte alegre,237.9,2
centro_oeste,GO,nazario,237.89,2
nordeste,RN,serra de sao bento,236.9,2
centro_oeste,GO,paranaiguara,236.89,3
sudeste,SP,rosana,236.6,4
sudeste,MG,jampruca,235.9,1
sudeste,MG,caiana,235.9,3
nordeste,PI,piracuruca,235.9,2
nordeste,BA,caraibas,235.9,1
norte,TO,pedro afonso,235.89,3
nordeste,SE,neopolis,235.0,1
nordeste,PE,buique,235.0,1
sul,RS,muliterno,235.0,1
nordeste,PE,joaquim nabuco,234.87,4
centro_oeste,MT,porto esperidiao,234.8,2
nordeste,BA,presidente tancredo neves,234.68,4
sul,PR,sao tome,234.07,2
sudeste,MG,pimenta,233.99,2
centro_oeste,GO,alto horizonte,233.91,2
sudeste,MG,chaveslandia,233.79,2
sudeste,MG,delfinopolis,233.59,3
sul,RS,parai,233.4,3
sul,PR,cafeara,233.0,2
sudeste,MG,luizlandia do oeste,232.99,2
sul,RS,ibiraiaras,232.98,2
sudeste,MG,cantagalo,232.95,2
nordeste,CE,novo oriente,231.98,3
nordeste,PE,moreilandia,230.9,2
nordeste,PE,flores,230.7,1
sudeste,SP,mendonca,230.37,4
nordeste,BA,itanhem,230.0,1
sudeste,MG,mamonas,230.0,1
nordeste,PE,quipapa,230.0,1
nordeste,BA,itape,230.0,1
nordeste,AL,canapi,230.0,1
sul,RS,boa vista do burica,229.99,1
norte,TO,silvanopolis,229.99,1
nordeste,RN,barauna,229.99,1
nordeste,CE,iracema,229.9,2
sudeste,MG,itamogi,229.9,2
nordeste,RN,sao paulo do potengi,229.9,2
nordeste,RN,japi,229.9,1
nordeste,RN,tenente ananias,229.9,1
sudeste,RJ,portela,229.9,1
sudeste,MG,bonfim,229.84,4
sudeste,SP,espirito santo do turvo,229.7,2
sudeste,SP,sete barras,229.69,4
sul,RS,ciriaco,229.0,1
nordeste,PE,sao jose do belmonte,228.9,2
nordeste,AL,piacabucu,228.9,2
norte,PA,benevides,228.89,2
sudeste,MG,santana do manhuacu,228.89,3
norte,PA,sao joao de pirabas,228.89,2
sudeste,MG,alpercata,228.8,2
nordeste,SE,tomar do geru,228.79,2
nordeste,BA,quijingue,228.09,2
sul,RS,boqueirao do leao,227.9,2
sul,SC,ibicare,227.4,2
sudeste,SP,estrela d'oeste,227.07,1
norte,PA,sao domingos do araguaia,227.0,1
centro_oeste,MT,sao jose dos quatro marcos,226.99,2
sudeste,SP,santa mercedes,226.99,2
nordeste,BA,olindina,226.79,3
nordeste,BA,rio de contas,226.7,3
sudeste,SP,aparecida de sao manuel,226.3,2
nordeste,BA,sao felix do coribe,226.0,1
sudeste,SP,luiziania,225.49,3
centro_oeste,MS,corguinho,225.41,2
sudeste,ES,rio bananal,225.26,4
sudeste,MG,santo antonio do itambe,225.06,3
sudeste,MG,resende costa,224.79,3
nordeste,PB,pocinhos,223.8,3
nordeste,PE,mirandiba,221.89,3
